groupID,subjectID,label,T,W,TW_max,n_formal,n_rt,rt_mean_ms,rt_median_ms,rt_std_ms,rt_min_ms,rt_max_ms,rt_5pct_ms,rt_95pct_ms
1,1,D1,0.03,0.3,0.32999999999999996,520,100,253.7,235.6,27.3,233.8,330.1,234.1,320.5
1,10,D1,0.03,0.3,0.32999999999999996,520,173,260.3,249.6,30.1,232.6,330.0,232.9,326.2
1,11,D1,0.03,0.3,0.32999999999999996,520,228,256.7,245.6,28.3,232.9,332.0,233.2,315.2
1,2,D1,0.03,0.3,0.32999999999999996,520,184,269.2,268.0,32.0,233.0,332.3,233.2,330.6
1,3,D1,0.03,0.3,0.32999999999999996,520,114,271.2,271.3,33.0,233.0,333.7,233.3,328.9
1,4,D1,0.03,0.3,0.32999999999999996,520,224,256.4,235.8,29.8,233.0,330.7,233.2,317.9
1,5,D1,0.03,0.3,0.32999999999999996,520,126,257.0,235.4,31.6,232.8,333.6,233.2,328.2
1,6,D1,0.03,0.3,0.32999999999999996,520,78,261.1,246.7,31.6,233.2,331.8,233.3,324.7
1,7,D1,0.03,0.3,0.32999999999999996,520,113,241.0,233.9,18.4,232.8,309.2,233.1,292.1
1,8,D1,0.03,0.3,0.32999999999999996,520,106,262.7,251.7,32.5,232.9,332.4,233.2,324.0
1,9,D1,0.03,0.3,0.32999999999999996,520,179,262.9,251.0,31.1,232.5,331.2,232.9,327.2
2,1,D2,0.03,0.6,0.63,520,309,379.4,359.7,126.5,233.9,633.5,234.0,602.5
2,10,D2,0.03,0.6,0.63,520,257,380.5,347.0,127.6,233.0,629.7,233.4,602.4
2,11,D2,0.03,0.6,0.63,520,157,525.9,538.7,82.7,233.2,645.9,379.2,623.7
2,12,D2,0.03,0.6,0.63,520,270,331.9,315.3,83.1,232.9,601.2,233.3,490.4
2,2,D2,0.03,0.6,0.63,520,59,430.3,444.3,141.6,233.3,631.8,233.6,627.5
2,3,D2,0.03,0.6,0.63,520,262,538.9,554.9,70.9,233.1,632.0,411.1,621.2
2,4,D2,0.03,0.6,0.63,520,96,427.4,433.7,133.0,233.2,629.3,233.7,619.8
2,5,D2,0.03,0.6,0.63,520,387,380.8,348.1,132.0,232.9,632.3,233.4,602.0
2,6,D2,0.03,0.6,0.63,520,170,534.5,553.4,78.9,233.4,627.0,376.9,621.8
