bin,n,rt_mean_ms,p_matching,se,ci_lo,ci_hi,condition
1,1800,391.9931995620903,0.49277777777777776,0.011783883521011344,0.4696813660765955,0.51587418947896,neutral
2,1800,482.1671008702137,0.51,0.011782755761422424,0.4869057987076121,0.5330942012923879,neutral
3,1800,577.0093713553993,0.5061111111111111,0.011784232740804026,0.4830140149391352,0.5292082072830869,neutral
4,1800,719.8064982355679,0.48333333333333334,0.011778563915063439,0.460247348059809,0.5064193186068576,neutral
5,1800,1115.4042965878675,0.5077777777777778,0.011783687080329869,0.48468175110033124,0.5308738044552244,neutral
1,1800,368.8703253378651,0.8944444444444445,0.007242374543343024,0.8802493903394921,0.9086394985493969,z_bias_large
2,1800,454.7744221934569,0.72,0.010583005244258363,0.6992573097212536,0.7407426902787464,z_bias_large
3,1800,549.8456874470303,0.5466666666666666,0.011733670028839188,0.5236686734101418,0.5696646599231915,z_bias_large
4,1800,692.0118677211397,0.455,0.011737286265951294,0.4319949189187355,0.47800508108126455,z_bias_large
5,1800,1095.3942750227577,0.44222222222222224,0.011706164767028186,0.419278139278847,0.4651663051655975,z_bias_large
1,1800,381.4242560462452,0.7766666666666666,0.009816526754960952,0.7574262742269432,0.79590705910639,z_bias_medium
2,1800,467.2812369844202,0.6194444444444445,0.01144389756574214,0.5970144052155899,0.641874483673299,z_bias_medium
3,1800,561.0330075872532,0.5205555555555555,0.011775149660190748,0.4974762622215817,0.5436348488895294,z_bias_medium
4,1800,706.5841811479094,0.46555555555555556,0.011757115581801555,0.4425116090152245,0.4885995020958866,z_bias_medium
5,1800,1107.7855626230883,0.4666666666666667,0.011758894715842625,0.4436192330236151,0.48971410030971824,z_bias_medium
1,1800,388.3146363387856,0.6611111111111111,0.011156542920251457,0.6392442869874182,0.682977935234804,z_bias_small
2,1800,479.0204007053734,0.5311111111111111,0.011762277244683345,0.5080570477115317,0.5541651745106905,z_bias_small
3,1800,573.4574434125602,0.5005555555555555,0.011785105745012424,0.4774567482953312,0.5236543628157799,z_bias_small
4,1800,713.2333263518369,0.5016666666666667,0.011785047546743812,0.4785679734750488,0.5247653598582845,z_bias_small
5,1800,1119.5218820248047,0.48055555555555557,0.011776198065501231,0.45747420734717315,0.503636903763938,z_bias_small
