groupID,subjectID,gender,age,handedness,stage,trialID,P,T,W,Shape,Label,CorrectKey,Response,RT,Correct
3,11,2,19,2,practice,1,120,0.03,0.6,square,self,f,,NaN,0
3,11,2,19,2,practice,2,120,0.03,0.6,square,stranger,j,,NaN,0
3,11,2,19,2,practice,3,120,0.03,0.6,circle,self,j,j,0.364357899990864,1
3,11,2,19,2,practice,4,120,0.03,0.6,circle,stranger,f,j,0.458240399952047,0
3,11,2,19,2,practice,5,120,0.03,0.6,square,self,f,f,0.540411100024357,1
3,11,2,19,2,practice,6,120,0.03,0.6,square,stranger,j,j,0.538528300006874,1
3,11,2,19,2,practice,7,120,0.03,0.6,circle,self,j,j,0.609703600057401,1
3,11,2,19,2,practice,8,120,0.03,0.6,circle,stranger,f,f,0.5133962999098,1
3,11,2,19,2,practice,9,120,0.03,0.6,square,stranger,j,f,0.494458599947393,0
3,11,2,19,2,practice,10,120,0.03,0.6,square,self,f,j,0.578007100033574,0
3,11,2,19,2,practice,11,120,0.03,0.6,circle,self,j,,NaN,0
3,11,2,19,2,practice,12,120,0.03,0.6,circle,stranger,f,j,0.555137100047432,0
3,11,2,19,2,practice,13,120,0.03,0.6,circle,stranger,f,f,0.575342700001784,1
3,11,2,19,2,practice,14,120,0.03,0.6,square,stranger,j,f,0.6263177000219,0
3,11,2,19,2,practice,15,120,0.03,0.6,square,self,f,,NaN,0
3,11,2,19,2,practice,16,120,0.03,0.6,circle,self,j,f,0.346931600011885,0
3,11,2,19,2,practice,17,120,0.03,0.6,circle,self,j,j,0.401081299991347,1
3,11,2,19,2,practice,18,120,0.03,0.6,square,self,f,j,0.578960999962874,0
3,11,2,19,2,practice,19,120,0.03,0.6,square,stranger,j,f,0.467575600021519,0
3,11,2,19,2,practice,20,120,0.03,0.6,circle,stranger,f,j,0.576323400018737,0
3,11,2,19,2,practice,21,120,0.03,0.6,circle,self,j,f,0.466301999986172,0
3,11,2,19,2,practice,22,120,0.03,0.6,square,stranger,j,,NaN,0
3,11,2,19,2,practice,23,120,0.03,0.6,square,self,f,j,0.392026000074111,0
3,11,2,19,2,practice,24,120,0.03,0.6,circle,stranger,f,f,0.419483499950729,1
